"Pozo","Estado","Acuífero","Elev.Brocal","Latitud","Longitud","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"SMV11","Baja California Sur","SAN MARCOS-PALO VERDE","9.17","27.017486","-112.044808","","","","","8.85","8.5","8.59","","","","8.29","","","","","","","8.27","","","","","","","","","","","",""
"SMV10","Baja California Sur","SAN MARCOS-PALO VERDE","13.00","27.022167","-112.0515","11.26","11.05","","11.26","11.65","11.42","11.37","","","","","","","","","","","11.97","","","","","","","","","","","",""
"SMV09","Baja California Sur","SAN MARCOS-PALO VERDE","17.31","27.027711","-112.060456","16.61","16.37","","16.71","17.12","16.82","16.69","","","","16.44","22.4","","","","","","16.14","","","","","","","","","","","",""
"SMV08","Baja California Sur","SAN MARCOS-PALO VERDE","57.00","27.048233","-112.096614","","56.83","","","","","","","","","53.46","57.98","","","","","","57.04","","","","","","","","","","","",""
"SMV03","Baja California Sur","SAN MARCOS-PALO VERDE","10.60","27.108953","-112.071928","","9.38","","9.7","13.35","10.78","11.08","","","","10.16","","","","","","","9.98","","","","","","","","","","","",""
"SMV02","Baja California Sur","SAN MARCOS-PALO VERDE","10.14","27.113825","-112.070461","9.67","9.08","","9.55","12.65","10","10.03","","","","","","","","","","","10.52","","","","","","","","","","","",""
"SMV01","Baja California Sur","SAN MARCOS-PALO VERDE","11.00","27.114967","-112.073519","","","","","","","","","","","","","","","","","","6.75","","","","","","","","","","","",""
"SL18","Baja California Sur","SAN LUCAS","4.18","27.218394","-112.217297","","","","","","","","","","","","","","","","","","3.89","","","","","","","","","","","",""
"SL17","Baja California Sur","SAN LUCAS","11.00","27.221747","-112.222842","","","","","","","","","","","","","","","","","","7.24","","","","","","","","","","","",""
"SL15","Baja California Sur","SAN LUCAS","5.00","27.204831","-112.223403","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","",""
"SL14","Baja California Sur","SAN LUCAS","8.34","27.212797","-112.223181","","","","","","","","","","","","","","","","","","6.7","","","","","","","","","","","",""
"SL13","Baja California Sur","SAN LUCAS","4.27","27.214292","-112.222169","","","","","","","","","","","","","","","","","","2.79","","","","","","","","","","","",""
"SL12","Baja California Sur","SAN LUCAS","8.00","27.220408","-112.219789","5.45","5","","","5.59","5.4","","","","","5.21","","","","","","","5.29","","","","","","","","","","","",""
"SL10","Baja California Sur","SAN LUCAS","3.92","27.222972","-112.219081","3.84","3.1","","","3.74","3.6","","","","","3.31","3.54","","","","","","3.29","","","","","","","","","","","",""
"SL09","Baja California Sur","SAN LUCAS","5.36","27.222019","-112.219158","5.15","4.84","","","6.62","5.3","","","","","5","5.3","","","","","","5.3","","","","","","","","","","","",""
"SL08","Baja California Sur","SAN LUCAS","4.15","27.227542","-112.221631","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","",""
"SL07","Baja California Sur","SAN LUCAS","6.12","27.228056","-112.219667","6.11","5.53","","","6.07","6.13","","","","","5.93","","","","","","","5.95","","","","","","","","","","","",""
